host_name,host_since,neighbourhood,property_type,room_type,price
Aki,2016-07-17,"Kita-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$82,183.00"
Trip,2017-01-18,Japan,Private room in rental unit,Private room,"$7,372.00"
Hotel,2023-03-05,"Taito City, Tokyo Prefecture, Japan",Room in hotel,Private room,
一秀,2021-05-24,,Room in hotel,Private room,
一秀,2021-05-24,,Room in hotel,Private room,
一秀,2021-05-24,,Room in hotel,Private room,
一秀,2021-05-24,,Room in hotel,Private room,
一秀,2021-05-24,,Room in hotel,Private room,
Yj,2019-03-20,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,851.00"
Yj,2019-03-20,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$17,921.00"
Lifeng,2020-07-15,,Entire rental unit,Entire home/apt,"$11,052.00"
Eric,2017-08-11,"Taito City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$14,125.00"
Yanfeng,2019-07-04,,Entire rental unit,Entire home/apt,"$20,000.00"
Relaxing,2023-04-30,"Ota City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$26,180.00"
敦,2023-04-21,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,100.00"
Tabist,2023-05-01,,Room in hotel,Private room,"$17,386.00"
Daiki,2022-12-04,"Koto City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$23,756.00"
Y,2015-06-10,"Shinjuku City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$40,171.00"
知也,2023-04-25,"Taito City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$19,543.00"
金,2023-02-21,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$19,421.00"
金,2023-02-21,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,433.00"
豊田,2015-03-20,"Shinjuku City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$61,566.00"
豊田,2015-03-20,"Shinjuku City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$59,493.00"
Yanfeng,2019-07-04,,Entire rental unit,Entire home/apt,
Yu,2016-03-05,"Chuo City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$65,714.00"
Mariko,2017-10-14,"Setagaya-ku, Tokyo-to, Japan",Entire rental unit,Entire home/apt,"$18,406.00"
金,2023-02-21,,Entire rental unit,Entire home/apt,"$16,568.00"
May,2015-03-27,"Ota City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$35,771.00"
邢,2017-05-08,,Entire rental unit,Entire home/apt,"$26,040.00"
Dan,2015-03-02,,Private room in home,Private room,"$10,841.00"
俊一,2017-05-06,"Koto City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$34,980.00"
聖美,2016-06-25,,Private room in home,Private room,"$26,871.00"
聖美,2016-06-25,,Private room in home,Private room,"$26,871.00"
Pqd,2019-03-06,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$10,800.00"
Sylvia,2017-09-08,"Edogawa City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,000.00"
Reimi,2016-04-18,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$22,857.00"
Sia,2020-06-21,,Entire rental unit,Entire home/apt,
Sia,2020-06-21,,Entire rental unit,Entire home/apt,
Sia,2020-06-21,,Entire rental unit,Entire home/apt,
聖美,2016-06-25,,Private room in home,Private room,
Monica,2022-12-31,"Koto City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$20,154.00"
Monica,2022-12-31,"Koto City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$21,087.00"
Monica,2022-12-31,"Koto City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,804.00"
Unito,2023-04-12,,Private room in rental unit,Private room,
Unito,2023-04-12,,Private room in rental unit,Private room,"$8,743.00"
ライワマンション,2023-04-24,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$14,707.00"
ライワマンション,2023-04-24,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$21,181.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
Unito,2023-04-12,,Private room in rental unit,Private room,"$11,829.00"
Unito,2023-04-12,,Private room in rental unit,Private room,"$14,286.00"
Keiko,2020-11-14,,Entire rental unit,Entire home/apt,"$10,296.00"
Gaku,2016-01-08,,Entire rental unit,Entire home/apt,"$28,820.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,389.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,122.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,979.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,532.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,449.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,532.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,532.00"
圭太,2023-03-13,"Sumida-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,532.00"
Yuxia,2019-01-05,"Katsushika City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$34,171.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
Yuxia,2019-01-05,,Entire home,Entire home/apt,"$41,091.00"
Yuka,2018-10-09,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,057.00"
Tadashi,2015-07-06,,Entire rental unit,Entire home/apt,"$16,829.00"
Tadashi,2015-07-06,"Sumida City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,
Ming,2015-06-30,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,049.00"
Wherely,2015-03-18,"Chiyoda City, Tokyo Prefecture, Japan",Entire serviced apartment,Entire home/apt,"$34,057.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,714.00"
圭太,2023-04-24,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,669.00"
Feng,2016-05-23,,Private room in rental unit,Private room,"$14,521.00"
一,2014-06-25,,Entire rental unit,Entire home/apt,"$13,400.00"
一,2014-06-25,,Entire rental unit,Entire home/apt,"$13,400.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$21,857.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$20,957.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$13,757.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,771.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$21,986.00"
Reach,2023-04-05,"Katsushika City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$23,786.00"
Wang,2017-01-07,"Nakano City, Tokyo Prefecture, Japan",Private room in hostel,Private room,"$13,730.00"
Wang,2017-01-07,"Nakano City, Tokyo Prefecture, Japan",Private room in hostel,Private room,"$13,730.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$19,800.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,900.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,000.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,000.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$23,786.00"
Wang,2017-01-07,"Nakano City, Tokyo Prefecture, Japan",Private room in hostel,Private room,
Wang,2017-01-07,"Nakano City, Tokyo Prefecture, Japan",Private room in hostel,Private room,"$13,730.00"
Wang,2017-01-07,"Nakano City, Tokyo Prefecture, Japan",Private room in hostel,Private room,
Eric,2017-08-11,"Taito City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,
YoYo,2023-02-22,"Shibuya City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$48,214.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$15,686.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$20,443.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$17,000.00"
宅東,2018-12-07,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,714.00"
Ferjhon,2023-01-07,"Taito City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$41,860.00"
Fun,2023-04-25,,Entire home,Entire home/apt,"$58,689.00"
Pqd,2019-03-06,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$10,800.00"
宗也,2021-12-06,"Edogawa City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$27,514.00"
Hotel,2023-03-05,"Taito City, Tokyo Prefecture, Japan",Room in hotel,Private room,
邢,2017-05-08,"Taito City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$34,160.00"
驛家國際宾館,2020-01-07,"Taito City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$19,543.00"
Guangri,2020-01-06,"Toshima City, Tokyo Prefecture, Japan",Entire villa,Entire home/apt,"$44,190.00"
Guangri,2020-01-06,,Entire home,Entire home/apt,"$50,971.00"
聖聖,2018-11-05,,Entire home,Entire home/apt,"$25,000.00"
娜,2021-03-28,,Entire home,Entire home/apt,"$9,660.00"
邢,2017-05-08,,Entire rental unit,Entire home/apt,"$32,200.00"
Hiroki,2015-08-19,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,649.00"
Hiroki,2015-08-19,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,649.00"
Hiroki,2015-08-19,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$7,020.00"
Miki,2018-07-31,,Entire rental unit,Entire home/apt,"$15,000.00"
Hotel,2023-03-05,"Taito City, Tokyo Prefecture, Japan",Room in hotel,Private room,
Hotel,2023-03-05,"Taito City, Tokyo Prefecture, Japan",Room in hotel,Private room,
Yanagihara,2019-12-16,,Entire rental unit,Entire home/apt,"$35,081.00"
Cogo,2023-02-01,"Sumida City, Tokyo Prefecture, Japan",Private room in hostel,Private room,
Yanagihara,2019-12-16,"Bunkyo City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$40,000.00"
Cogo,2023-02-01,"Sumida City, Tokyo Prefecture, Japan",Private room in hostel,Private room,
Vivian,2013-09-23,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$47,758.00"
Hiroki,2015-08-19,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,949.00"
七美,2017-07-29,,Entire rental unit,Entire home/apt,"$16,082.00"
Ichigoichie,2016-02-28,"Shibuya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$33,714.00"
セイ,2019-03-09,,Entire rental unit,Entire home/apt,
Senkei,2017-07-03,,Entire home,Entire home/apt,"$60,000.00"
Y,2015-06-10,"Shibuya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$30,671.00"
3,2019-06-11,,Entire home,Entire home/apt,"$58,629.00"
Yuki,2015-10-15,,Entire home,Entire home/apt,"$17,480.00"
Vivian,2013-09-23,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$49,687.00"
Vivian,2013-09-23,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$47,758.00"
Vivian,2013-09-23,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$50,146.00"
Vivian,2013-09-23,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,884.00"
Dong,2023-04-21,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$14,657.00"
Dong,2023-04-21,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$14,657.00"
Dong,2023-04-21,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$97,200.00"
邢,2017-05-08,,Entire rental unit,Entire home/apt,"$32,480.00"
伊藤,2022-12-26,,Entire home,Entire home/apt,"$27,954.00"
Triphome,2019-03-11,"Toshima City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$26,556.00"
Chihiro,2021-07-04,,Entire rental unit,Entire home/apt,"$19,500.00"
Liyan,2018-06-03,"Kita City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$10,220.00"
Liyan,2018-06-03,"Kita City, Tokyo Prefecture, Japan",Private room in condo,Private room,"$9,800.00"
Wallace,2019-11-16,,Entire rental unit,Entire home/apt,
Chihiro,2021-07-04,"Setagaya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,000.00"
Yosuke,2023-05-19,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$48,541.00"
Ishii,2017-06-22,"Suginami City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$45,643.00"
Hitomi,2019-11-12,,Entire rental unit,Entire home/apt,"$30,286.00"
Chiliko,2020-01-06,"Taito-Ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$45,463.00"
Kun,2020-10-11,,Entire serviced apartment,Entire home/apt,"$15,010.00"
竹岡,2023-05-09,,Entire rental unit,Entire home/apt,"$6,847.00"
Manami,2018-10-11,,Entire rental unit,Entire home/apt,"$23,429.00"
白,2020-01-21,"Chuo City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$24,714.00"
Yoko,2023-05-09,"Edogawa City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$14,932.00"
Rei,2023-05-08,"Shibuya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$54,000.00"
K,2021-04-06,"Toshima City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$47,310.00"
Cheng Yuen,2023-05-19,"Edogawa City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$24,171.00"
Kayo,2016-08-22,"Sumida City, Tokyo Prefecture, Japan",Room in aparthotel,Entire home/apt,"$174,286.00"
Sachiko,2018-08-20,"Sumida Ward, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$19,360.00"
UI Home Company,2018-04-12,"Katsushika City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$23,143.00"
Kota,2020-11-02,,Entire home,Entire home/apt,"$92,501.00"
Crown,2023-05-18,"Koto City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$9,583.00"
Qiu,2016-02-07,,Entire rental unit,Entire home/apt,"$34,743.00"
Mochi,2022-11-04,,Entire home,Entire home/apt,"$15,000.00"
Etao,2018-01-23,"Chuo City, Tokyo Prefecture, Japan",Room in boutique hotel,Private room,"$63,371.00"
Phoenix,2021-02-08,,Entire condo,Entire home/apt,
Phoenix,2021-02-08,,Entire rental unit,Entire home/apt,"$11,857.00"
Sc Group,2019-01-22,"Katsushika City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$6,980.00"
Hata,2020-03-01,"Sumida City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$40,571.00"
Shin&Dad,2023-03-23,,Private room in rental unit,Private room,"$10,183.00"
浩史,2015-08-23,,Entire rental unit,Entire home/apt,"$18,143.00"
美由紀,2022-09-29,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$63,743.00"
Ming Yang,2015-09-05,,Entire home,Entire home/apt,"$50,000.00"
Sylvia,2017-09-08,"Edogawa City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,507.00"
Coco,2015-08-22,"Katsushika City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$21,291.00"
Elle,2019-04-18,,Entire rental unit,Entire home/apt,"$25,857.00"
美由紀,2022-09-29,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,471.00"
碧,2023-05-10,,Entire home,Entire home/apt,"$34,064.00"
Senta,2019-11-04,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,857.00"
Hairong,2019-05-09,,Entire home,Entire home/apt,"$22,539.00"
Hairong,2019-05-09,,Entire home,Entire home/apt,"$21,948.00"
Kei,2015-04-27,,Entire rental unit,Entire home/apt,"$20,177.00"
千万樹,2015-09-22,"Suginami City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,286.00"
Samurai,2019-01-17,"Shibuya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$50,000.00"
恵,2018-09-10,,Entire condo,Entire home/apt,"$14,099.00"
Yuki,2023-05-18,"Ota City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$24,474.00"
Yuki,2023-05-18,"Nakano City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$22,622.00"
Kayo,2016-08-22,"Sumida City, Tokyo Prefecture, Japan",Entire serviced apartment,Entire home/apt,"$70,571.00"
Kayo,2016-08-22,"Sumida City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$114,286.00"
Sunflower,2015-12-05,"Katsushika City, Tokyo Prefecture, Japan",Entire chalet,Entire home/apt,"$23,376.00"
喜子,2023-05-11,"Shinjuku City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$52,857.00"
Nicol,2023-02-05,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Lean And Stable,2022-12-01,,Entire home,Entire home/apt,"$35,354.00"
琢居,2015-04-22,,Entire rental unit,Entire home/apt,"$31,200.00"
池田,2020-09-01,,Entire rental unit,Entire home/apt,"$28,500.00"
望登,2023-05-12,,Entire home,Entire home/apt,"$77,571.00"
Yume,2020-04-01,,Entire home,Entire home/apt,"$26,038.00"
Yume,2020-04-01,,Entire home,Entire home/apt,"$16,993.00"
圭太,2023-03-13,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$13,532.00"
圭太,2023-03-13,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$13,532.00"
圭太,2023-03-13,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$13,532.00"
Ango,2023-05-23,"Shibuya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$37,800.00"
拓海,2023-05-23,"Sumida City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$32,271.00"
Eric,2023-06-05,"Shinjuku City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$39,714.00"
Tora,2023-05-12,,Entire rental unit,Entire home/apt,"$23,857.00"
Tora,2023-05-12,,Entire rental unit,Entire home/apt,"$26,714.00"
Tora,2023-05-12,,Entire rental unit,Entire home/apt,"$27,143.00"
Tora,2023-05-12,,Entire rental unit,Entire home/apt,"$20,000.00"
Eric,2023-06-05,"Shinjuku City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$39,857.00"
Masa,2018-06-28,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Yuki,2015-10-15,,Entire home,Entire home/apt,"$19,657.00"
Yoshi,2019-07-22,"Katsushika City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$32,981.00"
浩史,2015-08-23,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$22,513.00"
Yoko&Shun,2015-09-10,"Setagaya City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$19,800.00"
尹府株式会社,2018-03-02,,Entire home,Entire home/apt,"$31,429.00"
櫻子,2019-11-28,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,300.00"
Eric,2023-06-05,"Shinjuku City, Tokyo Prefecture, Japan",Entire condo,Entire home/apt,"$42,143.00"
Munesue,2022-12-10,,Entire home,Entire home/apt,"$17,409.00"
UI Home Company,2018-04-12,"Suginami-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,
Yosuke,2023-05-13,"Sumida, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$51,594.00"
Hiroko,2020-10-10,,Entire rental unit,Entire home/apt,"$7,543.00"
恵,2018-09-10,,Entire rental unit,Entire home/apt,
Trip,2017-01-18,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$14,063.00"
Akinobu,2021-04-17,"Sumida-ku, Tokyo-to, Japan",Entire rental unit,Entire home/apt,"$12,600.00"
Lynn,2013-11-16,,Entire home,Entire home/apt,"$23,571.00"
Vivian,2018-11-21,,Entire rental unit,Entire home/apt,"$25,478.00"
树林,2023-05-24,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$31,192.00"
Inn The Omotesando A,2023-05-25,"Minato City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$34,714.00"
荒井,2018-03-15,"Minato City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$29,021.00"
Akane,2023-03-23,"Katsushika Ward, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$28,864.00"
Ming,2015-06-30,,Entire rental unit,Entire home/apt,"$39,800.00"
Plays,2023-05-07,"Katsushika City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,772.00"
Takashi,2014-11-17,,Entire rental unit,Entire home/apt,"$10,800.00"
Chika,2023-01-12,"Toshima City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$34,571.00"
順子,2022-08-23,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$24,230.00"
Satoru,2018-08-17,"Shinjuku City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$61,180.00"
Shohei,2023-03-13,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$33,114.00"
Yuki,2023-05-18,"Ota City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,
美由紀,2022-09-29,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,471.00"
雲逸,2018-05-14,"Toshima City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$39,600.00"
Shoko,2018-12-23,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$17,046.00"
Yoshiro,2016-04-15,,Entire rental unit,Entire home/apt,"$16,351.00"
Lifeng,2020-07-15,,Entire rental unit,Entire home/apt,"$25,676.00"
Sylvia,2017-09-08,"Edogawa City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,150.00"
Keiko,2020-11-14,,Entire rental unit,Entire home/apt,"$19,013.00"
海辺,2023-05-15,"Koto City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$12,769.00"
七美,2017-07-29,,Entire rental unit,Entire home/apt,"$25,514.00"
Aruko,2017-04-30,,Entire rental unit,Entire home/apt,"$21,600.00"
Koh,2022-01-02,,Private room in rental unit,Private room,"$9,977.00"
Sia,2020-06-21,,Entire rental unit,Entire home/apt,
Maichin,2016-03-14,,Entire rental unit,Entire home/apt,"$11,016.00"
真知子,2017-01-01,,Entire home,Entire home/apt,"$16,000.00"
Emiko,2022-10-29,,Entire rental unit,Entire home/apt,"$32,980.00"
Yoko,2023-05-28,"Minato City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$30,441.00"
つくいリゾート,2022-12-12,"Shibuya City, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$104,143.00"
Inn The Omotesando B,2023-05-28,"Minato City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$42,840.00"
大倉,2023-04-26,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,964.00"
Good Space,2023-01-23,,Entire rental unit,Entire home/apt,"$19,234.00"
大倉,2023-04-26,,Entire rental unit,Entire home/apt,"$28,229.00"
Sia,2020-06-21,,Entire rental unit,Entire home/apt,"$15,520.00"
Lai,2016-01-29,,Private room in home,Private room,"$7,500.00"
Lai,2016-01-29,,Private room in home,Private room,"$6,000.00"
Yanagihara,2019-12-16,,Entire rental unit,Entire home/apt,"$33,286.00"
正子,2023-02-09,,Entire rental unit,Entire home/apt,"$32,000.00"
Didi,2016-07-13,,Entire rental unit,Entire home/apt,"$12,798.00"
Inn The Omotesando C,2023-05-28,"Minato City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$32,143.00"
Inn The Omotesando D,2023-05-28,"Minato City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$31,500.00"
Visvim,2016-06-05,"Sumida City, Tokyo Prefecture, Japan",Entire villa,Entire home/apt,"$50,750.00"
Inn The Omotesando E,2023-05-28,"Minato City, Tokyo Prefecture, Japan",Private room in rental unit,Private room,"$36,000.00"
Haruka,2019-03-13,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$24,660.00"
Kei,2018-08-26,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$15,086.00"
Kei,2018-08-26,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$15,086.00"
Plays,2019-05-31,"Ota City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$15,793.00"
Shigeru,2015-08-01,,Entire rental unit,Entire home/apt,"$13,441.00"
友見子,2016-08-09,"Nakano City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,571.00"
Yosuke,2023-05-17,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$71,055.00"
Sugita,2019-09-24,,Entire home,Entire home/apt,"$15,583.00"
